movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age,older
Barfly,1987,Barbet Schroeder,11,1,Faye Dunaway,Mickey Rourke,woman,man,1941-01-14,1952-09-16,46,35,woman older
Black Panther,2018,Ryan Coogler,11,1,Danai Gurira,Daniel Kaluuya,woman,man,1978-02-14,1989-02-24,40,29,woman older
Boogie Nights,1997,Paul Thomas Anderson,11,1,Julianne Moore,Mark Wahlberg,woman,man,1960-12-03,1971-06-05,37,26,woman older
I Could Never Be Your Woman,2007,Amy Heckerling,11,1,Michelle Pfeiffer,Paul Rudd,woman,man,1958-04-29,1969-04-06,49,38,woman older
Love Actually,2003,Richard Curtis,11,5,Laura Linney,Rodrigo Santoro,woman,man,1964-02-05,1975-08-22,39,28,woman older
The Good Girl,2002,Miguel Arteta,11,1,Jennifer Aniston,Jake Gyllenhaal,woman,man,1969-02-11,1980-12-19,33,22,woman older
Death to Smoochy,2002,Danny DeVito,10,1,Catherine Keener,Edward Norton,woman,man,1959-03-23,1969-08-18,43,33,woman older
Prima della rivoluzione,1964,Michelangelo Antonioni,10,1,Adriana Asti,Francesco Barilli,woman,man,1933-04-30,1943-02-04,31,21,woman older
Water for Elephants,2011,Francis Lawrence,10,2,Reese Witherspoon,Robert Pattinson,woman,man,1976-03-21,1986-05-13,35,25,woman older
Bull Durham,1988,Ron Shelton,9,1,Susan Sarandon,Kevin Costner,woman,man,1946-10-04,1955-01-18,42,33,woman older
Everything Everywhere All at Once,2022,"Dan Kwan, Daniel Scheinert",9,1,Michelle Yeoh,Ke Huy Quan,woman,man,1962-08-06,1971-08-20,60,51,woman older
It's Complicated,2009,Nancy Meyers,9,2,Meryl Streep,Alec Baldwin,woman,man,1949-06-22,1958-04-03,60,51,woman older
